"","s_name","s_LMA","s_Nmass","s_Pmass","s_wsg","s_dbhmax","s_hmax","s_ah","CD_a","CD_b","CR_a","CR_b","sample_size"
"1","Albizia ferruginea",65387.5,30.8641516666667,1.23313005,0.494300779393939,1.126,52.0720932754546,0.353486953214958,-0.179151374070738,0.336360000325618,2.29998060666348,2.29998060666348,22
"2","Albizia gummifera",12613.9204507705,35.1,1.6,0.515285053612903,1.098,53.7624424140284,0.347908111816917,0.470849940404373,0.586265266841847,2.36680332610992,2.36680332610992,12
"3","Amphimas pterocarpoides",33917.352655824,24.2176304,0.9,0.61746593255102,1.3,53.0078588884174,0.362860178855201,-0.463997349948063,0.327210891230659,2.15248835482777,2.15248835482777,36
"4","Anonidium mannii",20555.9211105263,33.0676470588235,1.44231300849785,0.291719871895785,0.7257465405,41.588275435328,0.408628868464822,0.525640306956617,0.412793009192825,2.06312821685916,2.06312821685916,283
"5","Anthonotha fragrans",104626.6667,19.2,1.4,0.52914263116129,0.35,43.2811387172559,0.40288157465262,0.106954673609473,0.384643484774866,NA,NA,4
"6","Anthonotha macrophylla",88958.333335,25.8375,1.93166666666667,0.841702366950664,0.509,46.4458064403114,0.352857500507956,0.205003093063003,0.420454727166606,2.38998723811311,2.38998723811311,181
"7","Antiaris toxicaria",11788.33922,26.787,2.39,0.386480504708861,0.945,51.8842111115271,0.362948960501119,-0.232325680247379,0.236858589987706,1.99649717261005,1.99649717261005,4
"8","Blighia sapida",55947.77778,16.6267871172602,1.3,0.761936341463415,0.7,NA,NA,NA,NA,2.11121350133617,2.11121350133617,82
"9","Blighia welwitschii",20786.28664375,26.5871641111111,2.20918469593961,0.785654644565934,1.412,49.4964813006682,0.357386489988004,-0.0777041137676933,0.335197339587118,1.88240951244874,1.88240951244874,99
"10","Carapa procera",13256.7757145457,18.4184078205472,0.5753,0.60030921978125,0.5570423008,49.3709200143315,0.421319420296044,0.638904392766193,0.379040641988949,2.12254098673608,2.12254098673608,214
"11","Cavacoa quintasii",13956.160525125,28.1875,1.66635960725762,0.680400852714286,0.557,40.779760096796,0.412248565112686,0.271374902039295,0.404873764601248,2.1400758231149,2.1400758231149,19
"12","Ceiba pentandra",19150.5769241014,23.685079610625,1.670141965,0.308696883843161,1.432,50.3713340540217,0.375504337979924,-0.326279395129165,0.33921363835267,2.03512278655722,2.03512278655722,21
"13","Celtis adolfi-friderici",16400,26.3,1.02,0.580857825776744,0.7555,53.5936125529065,0.361092287191593,-0.645477771267809,0.278669531758458,2.10354143893255,2.10354143893255,34
"14","Celtis africana",19180.4523538786,28.7290491084806,1.7472925,0.625543926575673,0.327,47.8166455316458,0.380482409381779,0.0097546857430472,0.37827591406055,2.3256458733674,2.3256458733674,7
"15","Celtis mildbraedii",26054.1023609091,35.70567525,1.77566083538221,0.594550925446262,0.901,57.0021843987935,0.418286897811929,0.855362939494052,0.244234304799895,2.17050218232537,2.17050218232537,112
"16","Celtis tessmannii",41308.8176543077,37.8727272727273,1.0790925902761,0.647430505486034,1.0655,50.2064021792818,0.37166942915673,-0.754383444365097,0.338559365464967,2.30406289973541,2.30406289973541,176
"17","Chrysophyllum africanum",9949.05540044445,28.8555555555556,1.55980777948198,0.608022318166667,0.88,48.3545238722772,0.398518108274802,0.190561269402205,0.482220077840604,2.49163323272407,2.49163323272407,14
"18","Chrysophyllum lacourtianum",34450.883237,33.6133672,1.94394114193475,0.630351197394191,1.192,49.5354819923206,0.362994124501763,-0.0821630596001755,0.301429522681316,2.01112516612485,2.01112516612485,61
"19","Coelocaryon preussii",24836.957696,28.8285714285714,1.49636444269634,0.496668550289855,0.93,47.6148825285451,0.377227055737456,-0.406814259526386,0.299684301958021,1.89801343486764,1.89801343486764,208
"20","Cordia africana",8274.60731832203,20.8,2.2,0.457963975652332,0.886,47.8771255711989,0.376829971643798,-0.111719603756881,0.298211459538946,2.2649570683103,2.2649570683103,1
"21","Dialium pachyphyllum",15860.2310471429,25.7694573636364,1.50879565070179,0.908724239179687,1.035,46.6049163037762,0.380835412322156,-0.0590436852915258,0.350072931331097,2.38382786577381,2.38382786577381,14
"22","Diospyros crassiflora",27910.2941805,25.004630625,1.70485263688339,0.852078410367647,1.178,45.828990585952,0.376640377311743,-0.00576628426837236,0.434396175588403,2.0240894862994,2.0240894862994,34
"23","Drypetes gossweileri",24670.2946966667,33.3272727272727,1.83543080105143,0.664148670426667,0.903,51.8038556699628,0.365472696769566,-0.488693750102444,0.250056907444288,1.91762791949227,1.91762791949227,34
"24","Entandrophragma cylindricum",121366.66665,34.718781,1.4110276,0.571607229825137,1.71,54.8907346748321,0.357816269355223,-1.09437584675961,0.373545048001878,2.13168247999584,2.13168247999584,91
"25","Erythrophleum suaveolens",45267.77442,26.0662804545455,1.32587953393728,0.863858188095541,1.5175,47.4194957540676,0.309949692436816,-0.26694061458247,0.479739208012577,2.43052925783872,2.43052925783872,113
"26","Garcinia mannii",79169.16667,13.2,0.35,0.824107099736264,0.278,48.1443141385599,0.378189842337279,0.149150739009164,0.400843927261365,NA,NA,61
"27","Garcinia punctata",14621.481714125,22.776,1.14893188216634,0.809146172774648,0.326,49.8926545514623,0.397261780249592,-0.144256172685424,0.382451316700053,2.15517017316286,2.15517017316286,92
"28","Gilbertiodendron dewevrei",21078.3359621667,21.8842423,1.32243454737421,0.706318099052989,1.98,48.2531475292798,0.345099774640587,0.275992103352613,0.524648593031981,2.19584470270977,2.19584470270977,111
"29","Greenwayodendron suaveolens",27028.256471,35.0355648888889,1.31350409464863,0.695006144742704,0.5635,57.1619297747252,0.39941158874938,0.524271990298899,0.227873453637166,1.94685882658429,1.94685882658429,582
"30","Guarea thompsonii",19038.7693658333,48.4583333333333,3.08413976254149,0.561923052433333,0.853,43.3714454712442,0.402435343044863,0.0660897185537143,0.447444617769538,2.13345358404183,2.13345358404183,41
"31","Homalium longistylum",13437.80945,27.275,1.70283618526756,0.693187804,0.797,46.3746954155172,0.380876648540635,0.0280478287593869,0.374419789425106,2.1450706942695,2.1450706942695,1
"32","Irvingia gabonensis",56870.9925657143,20.1249835,3.91150548954896,0.774708468686684,1.11,49.5013953085838,0.392469419980837,-0.253179779515293,0.444913475524363,2.41025684645444,2.41025684645444,125
"33","Irvingia grandifolia",67629.5232177778,24.0619745555556,1.64516677027517,0.800337297015625,2.006,51.3837327419291,0.339690389019364,-0.298199323914209,0.310743825406309,2.27477486224157,2.27477486224157,65
"34","Khaya anthotheca",11000,20.24,1.21,0.490102935125,0.691,47.2921982853316,0.379221175357445,0.151300176045446,0.433402572519576,2.17008323311774,2.17008323311774,1
"35","Klainedoxa gabonensis",143909.73832,12.55971625,0.50877196,0.924538399718563,1.413,53.332401404375,0.359313380627056,-0.930275559177207,0.43933625861864,2.48024158432915,2.48024158432915,129
"36","Lophira alata",75604.8280528571,18.2172210654545,1.41,0.896957010442748,1.968,53.8457275372648,0.370325442061928,-0.120931628753327,0.484396983904277,2.47987003833709,2.47987003833709,12
"37","Macaranga monandra",13134.16985035,24.5904761904762,1.95689082945355,0.350830759666667,0.462,49.1400139381905,0.37174857425546,0.235089979181471,0.457418915514082,2.26683481205611,2.26683481205611,4
"38","Macaranga spinosa",17352.9623280417,26.2166916,1.92069495101533,0.361998369642857,0.56,44.2987763654731,0.323601965149927,-0.023489136199344,0.422242782132179,2.12904321595689,2.12904321595689,104
"39","Maesopsis eminii",25014.86859,42.19,2.49494238769427,0.395457997865854,0.729,52.4647922619014,0.353973000405597,-0.207864769581733,0.290036433968445,2.43928606811058,2.43928606811058,28
"40","Mammea africana",153171.48165,13.70474,0.67,0.626699790236111,1.63,50.8009565271541,0.344962336687405,-0.0814552666691753,0.30930966614056,1.80013007662308,1.80013007662308,53
"41","Margaritaria discoidea",20444.72055,27.18756606833,5.71659002173913,0.71857091086758,1.152,46.1701661914419,0.369535842814691,0.61006058764319,0.479912206409087,2.58240882748248,2.58240882748248,41
"42","Musanga cecropioides",52897.7071614229,23.851041232973,1.7791517885864,0.2439619257875,1.08,50.3092914190535,0.351973858213979,0.256588924123868,0.47125739924463,2.42708350770712,2.42708350770712,171
"43","Ongokea gore",26105.6451388889,29.4490616666667,2.25434636415954,0.747962422329114,0.961,52.6687097799415,0.356168228979161,-0.288534487671619,0.338556473701188,1.9802397899176,1.9802397899176,62
"44","Pancovia harmsiana",14373.711091,28.38,1.47779042956454,0.7067818025,0.244,42.9153164053705,0.404943485830143,0.483648520433749,0.475616337693504,2.14530679873951,2.14530679873951,8
"45","Pancovia laurentii",12265.3223663333,26.59,2.08069674495585,0.695047176,0.564,45.7441073895245,0.405683486236865,0.615874349572272,0.40856513275837,2.17422809772818,2.17422809772818,41
"46","Panda oleosa",29458.2701294737,28.746959114375,2.93678403652114,0.566355983987448,0.918,39.7315723755716,0.368566822547797,-0.31763750838165,0.5222569632106,2.11737496541122,2.11737496541122,112
"47","Parinari excelsa",87458.27901,17.7447666363636,0.74551878,0.703393003011765,1,51.5678206139195,0.358012749435546,-0.362584265133053,0.372931668467816,2.71004966472226,2.71004966472226,27
"48","Parkia bicolor",56306.47385,27.9225335714286,2.19515708651985,0.449613576488372,0.929,52.0579000349941,0.364431316321434,0.297294237738105,0.453786439177381,2.81436866804363,2.81436866804363,11
"49","Pentaclethra macrophylla",26292.9871233333,29.5033898571429,1.58491149023924,0.840572625294686,1.4,44.1320191312304,0.295148532766171,-0.464070648607674,0.487322769051046,2.30901432352207,2.30901432352207,367
"50","Petersianthus macrocarpus",29599.4575040357,29.9663519642857,2.40024262579984,0.675721885979206,1.196,54.4244474739652,0.376093974871932,-1.1510441894327,0.305649856426287,2.2327917267523,2.2327917267523,624
"51","Piptadeniastrum africanum",41250.8822666667,31.6327006,1.123971435,0.605386373945513,2,52.4386649919401,0.358429276476399,-0.00452850741305633,0.43643002741936,2.40420217889157,2.40420217889157,95
"52","Prioria oxyphylla",13986.2015058571,28.3375,1.21666155418548,0.590288041736842,1.4685,48.6848946646637,0.319450733825599,-0.212087850986207,0.280473770251266,2.4152360071493,2.4152360071493,18
"53","Pteleopsis hylodendron",103231.1111,17.9802206666667,0.9511424,0.678448866827586,1.114,51.8679630107855,0.365957870485358,-0.331395467329253,0.376141265430055,2.23934709109506,2.23934709109506,83
"54","Pterocarpus soyauxii",69734.4855238889,26.165749475,0.890647862619393,0.657837294124031,1.544,54.5058861837477,0.370693332645362,-0.432780852275049,0.300427294556536,2.25339727646694,2.25339727646694,163
"55","Pycnanthus angolensis",55402.2267654118,25.0213135714286,1.51688664172075,0.409147587730829,1.289,50.3312807343646,0.398732898831665,-0.895137785125868,0.233707757150788,2.23436152549402,2.23436152549402,165
"56","Ricinodendron heudelotii",26450.1377819,34.791898,4.69184054713332,0.219358311933333,1.65,44.7702090453087,0.388093381359953,-0.218147003403984,0.433936626516643,2.04742997514104,2.04742997514104,88
"57","Rinorea oblongifolia",15643.3490675,29.775,2.53268257424099,0.4742037925,0.315,40.9627754958625,0.391002233113903,0.308891376120851,0.444110239260254,2.06910826600175,2.06910826600175,281
"58","Scorodophloeus zenkeri",18247.9950746512,40.8931818181818,1.408847585792,0.704161305846154,0.89,47.159517817863,0.385048916074221,0.0592394920547175,0.430235063767222,2.38266784499576,2.38266784499576,5
"59","Spathodea campanulata",19183.4940516667,30.3190476185714,2.33993892122501,0.283092595566667,0.442,46.2077798503818,0.387071421933197,-0.0228674804582104,0.341099366071594,2.19807959870962,2.19807959870962,7
"60","Staudtia kamerunensis",19855.0346695556,28.955,1.39490133151795,0.793506545714888,0.925,54.5073337470086,0.385788065979362,-0.356869639567223,0.203323941997363,2.15881827292492,2.15881827292492,213
"61","Strombosia grandifolia",18771.2711964167,32.7285714285714,2.37311082501742,0.819371230546992,0.735,40.4175830446781,0.334255283274476,-0.285828711725437,0.546384667171543,2.40029994278356,2.40029994278356,127
"62","Strombosia scheffleri",14366.59217912,28.6,2.26,0.657367428232925,0.789,48.4095251103394,0.354402244838417,-0.135665103288802,0.282513410695744,2.16017286268488,2.16017286268488,118
"63","Strombosiopsis tetrandra",31976.0308142727,35.7,2.03230397472431,0.662730161580311,0.997,43.131512774702,0.340183857606375,-0.0833398918586844,0.490613730122951,2.11255585053082,2.11255585053082,399
"64","Symphonia globulifera",10614.9446714886,16.8662117821181,0.8670326286,0.590228725196416,0.481,52.9578372367205,0.359201455693961,0.00316756900785175,0.294297874936503,2.23824317777366,2.23824317777366,41
"65","Synsepalum subcordatum",10053.5302384,25.61,1.28560573573717,0.678274773333333,0.204,33.6746989038852,0.428040094118669,-0.0634051312584679,0.366979287408552,2.03496743181769,2.03496743181769,3
"66","Tabernaemontana crassa",25512.48989,36.12,2.45644748743678,0.550408070003085,0.347,42.4446758233179,0.399985265798047,0.320197653030123,0.437068423852241,2.22207233657149,2.22207233657149,944
"67","Terminalia superba",134728.333325,23.288741225,0.644333333333333,0.458869048141831,1.91,55.5176373758841,0.375907525489549,-1.141923550702,0.274843879203399,2.19805020903167,2.19805020903167,233
"68","Tessmannia africana",32665.13968465,29.00092735,1.34297531646561,0.816762345877358,1.123,52.7969634013473,0.333761554433047,-0.517389279723473,0.244758815102381,2.52520230227536,2.52520230227536,104
"69","Tetrorchidium didymostemon",24939.6819077778,33.1,2.32619477488211,0.434303468795918,0.279,50.2910969673097,0.364587484318959,0.0332734457526845,0.375197827843456,2.18862726826003,2.18862726826003,17
"70","Trichilia gilgiana",18418.891664,31.02,2.10586546273432,0.4961604234,0.23,50.2860387080082,0.368398436430913,-0.0969225977788571,0.338613283921148,2.1859059848623,2.1859059848623,3
"71","Trichilia prieuriana",16473.619158,31.92,2.14567651521147,0.663124365229851,0.7155,44.5445967013315,0.407184643149922,0.141633289384305,0.373062078774389,1.80571637413991,1.80571637413991,54
