Temperature	DailyMeanTemperature	NightTemperature	Rainfall	WindSpeed	DailyMeanIrradiance	MeanIrradiance	SaturatedVapourPressure	VapourPressure	VaporPressureDeficit	DailyVapourPressureDeficit	DailyMeanVapourPressureDeficit
25.017	26.161	23.513	0.606	0.933	248.279	147.916	3.198	2.98	0.217	0.417	0.495
25.09	27.36	22.946	2.02	0.996	336.703	177.228	3.22	2.897	0.323	0.621	0.769
24.891	27.156	22.876	0	0.829	335.487	173.438	3.188	2.844	0.344	0.611	0.748
24.607	27.342	22.333	0.202	0.983	379.544	195.495	3.147	2.746	0.401	0.747	0.892
23.459	26.16	22.224	1.616	0.924	303.264	143.083	2.907	2.805	0.102	0.196	0.649
23.682	25.447	22.202	9.09	0.963	250.609	134.573	2.95	2.845	0.105	0.202	0.461
24.255	26.375	22.483	5.454	0.808	369.064	198.583	3.065	2.862	0.203	0.39	0.623
24.957	26.418	23.326	0.202	1.26	294.464	169.007	3.188	2.992	0.196	0.376	0.645
24.345	26.406	23.756	13.13	0.932	358.562	122.187	3.053	3.015	0.037	0.071	0.767
24.031	26.94	23.1	19.594	0.734	321.915	111.669	3	2.97	0.03	0.057	0.837
24.385	27.416	22.854	8.686	1.024	369.963	159.979	3.072	3.003	0.069	0.13	0.861
24.447	27.459	22.823	3.838	0.807	354.294	169.841	3.095	2.968	0.126	0.247	0.802
24.22	26.475	23.435	9.494	0.904	294.824	135.333	3.033	2.988	0.044	0.085	0.588
24.589	26.88	23.436	17.372	0.741	312.769	129.931	3.107	3	0.107	0.205	0.649
24.743	26.748	23.918	5.454	0.754	293.495	112.093	3.128	3.096	0.032	0.061	0.617
24.22	26.685	22.808	13.534	0.797	301.485	130.933	3.048	2.939	0.109	0.21	0.619
24.152	26.189	22.37	0.404	0.87	316.985	171.415	3.039	2.833	0.206	0.397	0.562
23.977	25.299	22.337	0.808	0.737	229.895	152.882	3.01	2.867	0.143	0.276	0.333
24.595	26.038	22.802	2.626	1.066	284.042	170.025	3.123	2.911	0.211	0.407	0.541
24.336	26.495	23.386	30.504	0.9	344.108	134.233	3.058	2.998	0.06	0.115	0.762
23.876	25.879	22.943	21.816	0.918	316.538	133.973	2.97	2.953	0.017	0.032	0.608
24.034	25.974	22.714	21.614	0.821	349.105	139.99	3.011	2.872	0.139	0.267	0.797
24.095	26.435	22.969	30.702	0.903	377.921	176.062	3.021	2.909	0.112	0.215	0.802
24.101	26.028	23.107	4.444	0.918	299.805	143.97	3.014	2.94	0.074	0.142	0.523
23.559	26.215	22.648	7.676	1.456	321.689	111.257	2.918	2.756	0.162	0.236	0.601
23.603	27.152	22.291	24.444	0.781	384.163	143.071	2.934	2.749	0.185	0.319	0.922
23.738	25.588	22.609	9.898	0.955	306.063	137.891	2.951	2.795	0.156	0.265	0.456
23.844	26.005	23.017	12.726	0.647	302.403	103.675	2.963	2.818	0.145	0.226	0.579
24.215	25.225	22.887	3.434	0.926	283.057	150.826	3.042	2.858	0.184	0.32	0.384
25.009	26.041	23.839	5.05	1.016	326.871	151.954	3.186	2.943	0.244	0.401	0.587
25.222	25.829	24.01	6.666	0.716	313.409	150.889	3.227	2.999	0.227	0.347	0.431
24.708	25.688	23.664	6.06	1.112	248.833	121.36	3.125	2.911	0.213	0.326	0.382
24.044	24.529	23.803	39.394	0.935	227.893	113.159	2.997	2.858	0.138	0.21	0.291
24.439	26.15	23.179	16.366	0.914	272.517	146.836	3.078	2.847	0.231	0.399	0.493
23.52	26.506	21.633	1.818	1.026	361.651	173.766	2.93	2.628	0.302	0.537	0.663
24.105	27.254	21.759	0	1.464	378.829	216.094	3.059	2.441	0.618	1.036	0.983
24.503	26.617	22.065	0	0.816	330.721	231.037	3.129	2.445	0.684	1.14	0.908
23.701	25.568	22.047	1.212	1.216	272.155	172.019	2.976	2.647	0.329	0.52	0.444
24.03	26.154	23.275	16.362	1.006	278.567	129.733	2.996	2.849	0.147	0.176	0.395
23.206	26.131	22.488	25.25	0.826	268.447	85.115	2.851	2.734	0.117	0.192	0.508
24.034	26.262	22.727	1.414	0.843	245.525	151.728	3.007	2.783	0.224	0.37	0.472
24.537	26.692	22.946	11.11	0.713	282.215	141.011	3.107	2.882	0.225	0.415	0.514
24.886	26.975	23.22	9.09	0.998	297.37	168.494	3.177	2.938	0.238	0.436	0.611
25.241	25.667	23.98	2.828	0.692	265.016	176.73	3.231	3.026	0.204	0.36	0.355
