s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_DispSynd
Abarema_jupunba	85.28611171	0.023158876	0.00057	0.570833333	0.6128	48.98	0.3121	153	0.00340136	0
Amaioua_guianensis	60.02609139	0.019040593	0.00044	0.734366667	0.30625	48.13	0.3353	10.429615	0.00194363	0
Anacardium_spruceanum	64.95050276	0.026304351	0.0008898	0.465671429	0.49988	48.75	0.3185	2500	0.00145773	0
Astronium_lecointei	70.37447506	0.021882344	0.0005713	0.710905	0.1635	48.34	0.3303	29.86691729	0.000485908	2
Bagassa_guianensis	53.023156	0.028714835	0.0008566	0.6047	0.7821	51.32	0.2917	10	0.000485912	0
Bocoa_prouacensis	91.00595261	0.025491234	0.0005054	0.835576667	0.40844	49.77	0.3107	2500	0.00793651	0
Brosimum_guianense	90.49233946	0.019492402	4.00E-04	0.698018667	0.56252	47.8	0.3293	629.5437178	0.00404924	0
Brosimum_rubescens	80.01476511	0.018844119	0.0006881	0.621733333	0.71275	52.69	0.2735	50	0.00259151	0
Buchenavia_guianensis	163.7020563	0.014654775	0.0004453	0.7135	0.25358	47.09	0.3239	705.7164286	0.000323936	0
Byrsonima_laevigata	75.90201574	0.025097124	0.0005303	0.678285	0.3791	50.08	0.2961	243.7207735	0.00178166	0
Capparis_maroniensis	75.85796118	0.040538673	0.0018547	0.6049125	0.287	49.33	0.3105	233.5025	0.000161968	0
Carapa_procera	104.1441872	0.017660348	0.0006356	0.55257	0.636	49.77	0.3119	25500	0.010852	0
Caryocar_glabrum	79.57210002	0.021748081	0.0008129	0.622917114	1.0312	51.85	0.2879	7676	0.00178166	0
Cecropia_obtusa	182.7208462	0.027648504	0.0013827	0.411036	0.35316	47.14	0.3345	0.119407084	0.00307743	0
Cheiloclinium_cognatum	77.17636975	0.015108075	0.0004093	0.671666304	0.1841	50.96	0.2841	3529.7	0.00178166	0
Chrysophyllum_argenteum	83.33941792	0.025666564	0.000608642	0.804987647	0.31968	52.57	0.2657	75.11	0.0037253	0
Chrysophyllum_cuneifolium	73.78562744	0.019060113	0.000449625	0.71859449	0.21118	45.43	0.3432	1182.4	0.000485912	0
Chrysophyllum_eximium	114.1386476	0.022495297	0.000444725	0.718025	0.6354	50.63	0.2927	2982.730257	0.00583091	0
Chrysophyllum_prieurii	128.2093673	0.022498272	0.000623622	0.7986125	0.53282	49.89	0.303	500	0.00113378	0
Chrysophyllum_sanguinolentum	144.193597	0.015431536	0.00046896	0.60067	0.59712	48.93	0.3138	2500	0.00372531	0
Conceveiba_guianensis	84.02968906	0.023460122	0.0007295	0.537936316	0.2515	50.44	0.2959	500	0.0042112	0
Cordia_sagotii	106.9073605	0.025307924	0.0005916	0.476610588	0.264	47.04	0.3343	214.4449984	0.00323939	0
Couepia_bracteosa	112.1856825	0.014994046	0.000481743	0.795704	0.43088	47.46	0.3389	7500	0.000809848	0
Couepia_caryophylloides	92.90728581	0.017100153	0.00067775	0.759714286	0.82498	49.87	0.3005	7500	0.00680272	0
Couepia_guianensis	92.29692685	0.016132921	0.000458583	0.729046	0.6456	47.13	0.3301	7500	0.00178167	0
Couma_guianensis	84.25493051	0.017985502	0.0007816	0.469175	0.45235	46.86	0.336	500	0.000647873	0
Couratari_multiflora	82.53893937	0.024559982	0.0007377	0.614433333	0.82068	48.84	0.3071	500	0.000809848	2
Cupania_scrobiculata	57.82495094	0.023161292	0.0018221	0.737728467	0.2011	48.9	0.3146	144	0.00178167	0
Dacryodes_cuspidata	102.9766911	0.015534469	0.0004892	0.687508889	0.34387	51.14	0.286	1467.25	0.00388727	0
